Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
loadingZZTongPrefabs,UI,Loading Screen,x,,Thank you for using the ZZTong-Prefabs modlet.,,Vielen Dank dass Sie das ZZTong-Prefabs-Modlet verwenden.,Gracias por usar el modlet ZZTong-Prefabs.,Merci d'avoir utilisé le modèle ZZTong-Prefab.,Grazie per aver utilizzato il modlet ZZTong-Prefab.,ZZTong-Prefab modlet をご利用いただきありがとうございます。,ZZTong-Prefab 모드렛을 사용해 주셔서 감사합니다.,Dziękujemy za skorzystanie z modletu ZZTong-Prefab.,Obrigado por usar o modlet ZZTong-Prefab.,Благодарим вас за использование модуля ZZTong-Prefab.,ZZTong-Prefabrik modelini kullandığınız için teşekkür ederiz.,感谢您使用 ZZTong-Prefab 模块。,感謝您使用 ZZTong-Prefab 模塊。,Gracias por usar el modelo ZZTong-Prefab.
loadingZZTongPrefabs_title,UI,Loading Screen,x,,Thank You,,Danke schön,Gracias,Merci,Grazie,どうもありがとうございます,매우 감사합니다,Dziękuję Ci,Obrigado,благодарю вас,Teşekkürler,谢谢你,謝謝你,Gracias
rwg_tile_commercial_cap_zztong_01,POI,POIName,,x,Commercial District,,Handelsviertel,Distrito comercial,District commercial,Distretto commerciale,商業地区,상업 지구,Dzielnica komercyjna,Distrito Comercial,Коммерческий район,Ticari bölge,商业区,商業區
rwg_tile_commercial_intersection_zztong_01,POI,POIName,,x,Commercial District,,Handelsviertel,Distrito comercial,District commercial,Distretto commerciale,商業地区,상업 지구,Dzielnica komercyjna,Distrito Comercial,Коммерческий район,Ticari bölge,商业区,商業區
rwg_tile_commercial_t_zztong_01,POI,POIName,,x,Commercial District,,Handelsviertel,Distrito comercial,District commercial,Distretto commerciale,商業地区,상업 지구,Dzielnica komercyjna,Distrito Comercial,Коммерческий район,Ticari bölge,商业区,商業區
rwg_tile_countryresidential_cap_zztong_01,POI,POIName,,x,Country Residential,,Land in Wohngebieten,País residencial,Pays résidentiel,Paese residenziale,カントリー住宅,국가 주거,Kraj mieszkalny,Residencial do país,Страновая жилая,Ülke Konutu,乡村住宅区,國家住宅
rwg_tile_countryresidential_corner_zztong_01,POI,POIName,,x,Country Residential,,Land in Wohngebieten,País residencial,Pays résidentiel,Paese residenziale,カントリー住宅,국가 주거,Kraj mieszkalny,Residencial do país,Страновая жилая,Ülke Konutu,乡村住宅区,國家住宅
rwg_tile_countryresidential_corner_zztong_02,POI,POIName,,x,Country Residential,,Land in Wohngebieten,País residencial,Pays résidentiel,Paese residenziale,カントリー住宅,국가 주거,Kraj mieszkalny,Residencial do país,Страновая жилая,Ülke Konutu,乡村住宅区,國家住宅
rwg_tile_countryresidential_straight_zztong_01,POI,POIName,,x,Country Residential,,Land in Wohngebieten,País residencial,Pays résidentiel,Paese residenziale,カントリー住宅,국가 주거,Kraj mieszkalny,Residencial do país,Страновая жилая,Ülke Konutu,乡村住宅区,國家住宅
rwg_tile_countryresidential_t_zztong_01,POI,POIName,,x,Country Residential,,Land in Wohngebieten,País residencial,Pays résidentiel,Paese residenziale,カントリー住宅,국가 주거,Kraj mieszkalny,Residencial do país,Страновая жилая,Ülke Konutu,乡村住宅区,國家住宅
