POI,Tier,VolumeCount,MinZombies,MaxZombies,Tags,Block,Count,Note
zztong_apartment_01,4,11,50,55,commercial,air,39265,None
zztong_apartment_01,4,11,50,55,commercial,terrStone,5951,None
zztong_apartment_01,4,11,50,55,commercial,terrainFiller,3002,None
zztong_apartment_01,4,11,50,55,commercial,terrDirt,144,None
zztong_apartment_01,4,11,50,55,commercial,cntTrashPile02,4,None
zztong_apartment_01,4,11,50,55,commercial,cntTrashPile03,1,None
zztong_apartment_01,4,11,50,55,commercial,cntTrashPile05,1,None
zztong_apartment_01,4,11,50,55,commercial,terrDestroyedStone,7,None
zztong_apartment_01,4,11,50,55,commercial,cntTrashPile07,2,None
zztong_apartment_01,4,11,50,55,commercial,terrGravel,11,None
zztong_apartment_01,4,11,50,55,commercial,terrAsphalt,403,None
zztong_apartment_01,4,11,50,55,commercial,garbage_decor1,25,None
zztong_apartment_01,4,11,50,55,commercial,garbage_decor2,9,None
zztong_apartment_01,4,11,50,55,commercial,garbage_decor3,10,None
zztong_apartment_01,4,11,50,55,commercial,cntBin,2,None
zztong_apartment_01,4,11,50,55,commercial,cntBruteStyleTrashCanRandomLootHelper,7,None
zztong_apartment_01,4,11,50,55,commercial,cntDumpsterFlies,1,None
zztong_apartment_01,4,11,50,55,commercial,cntNightstandRandomLootHelper,7,None
zztong_apartment_01,4,11,50,55,commercial,cntMedicineCabinetFaucetRandomLootHelper,7,Loot 33%
zztong_apartment_01,4,11,50,55,commercial,cntWeaponsBagSmall,1,None
zztong_apartment_01,4,11,50,55,commercial,cntAmmoPileMedium,1,Loot 100%
zztong_apartment_01,4,11,50,55,commercial,cntMedicLootPileA,1,None
zztong_apartment_01,4,11,50,55,commercial,cntFoodPileSmall,1,Loot 100%
zztong_apartment_01,4,11,50,55,commercial,cntFoodPileMedium,1,Loot 100%
zztong_apartment_01,4,11,50,55,commercial,paintingPictureRandomHelper,12,None
zztong_apartment_01,4,11,50,55,commercial,cntWoodDesk01RandomLootHelper,2,None
zztong_apartment_01,4,11,50,55,commercial,officeChair01,2,None
zztong_apartment_01,4,11,50,55,commercial,woodChair1,1,None
zztong_apartment_01,4,11,50,55,commercial,barStool,13,None
zztong_apartment_01,4,11,50,55,commercial,sectionalPlaidCouchSofaCorner,2,None
zztong_apartment_01,4,11,50,55,commercial,sectionalLeatherCouchSofaArm,4,None
zztong_apartment_01,4,11,50,55,commercial,sectionalLeatherCouchSofaCorner,3,None
zztong_apartment_01,4,11,50,55,commercial,sectionalLeatherCouchSofaMiddle,10,None
zztong_apartment_01,4,11,50,55,commercial,couchSofa01,1,None
zztong_apartment_01,4,11,50,55,commercial,chairCouchSofa01,1,None
zztong_apartment_01,4,11,50,55,commercial,leatherCouchSofa2,4,None
zztong_apartment_01,4,11,50,55,commercial,leatherChairCouchSofa2,6,None
zztong_apartment_01,4,11,50,55,commercial,decoComputerMonitorKeyboardMousePC,2,None
zztong_apartment_01,4,11,50,55,commercial,tv,2,None
zztong_apartment_01,4,11,50,55,commercial,tv_fallen,1,None
zztong_apartment_01,4,11,50,55,commercial,tv_large_1,2,None
zztong_apartment_01,4,11,50,55,commercial,tv_large_2,2,None
zztong_apartment_01,4,11,50,55,commercial,decoBasketBallHoop,1,None
zztong_apartment_01,4,11,50,55,commercial,decoStationaryBike,1,None
zztong_apartment_01,4,11,50,55,commercial,decoTreadmill,2,None
zztong_apartment_01,4,11,50,55,commercial,bed02,4,None
zztong_apartment_01,4,11,50,55,commercial,bunkBedRandomHelper,4,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:cube,13,None
zztong_apartment_01,4,11,50,55,commercial,cntFileCabinetShortRandomLootHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,concreteShapes:cube,3665,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalShapes:cube,6,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalShapes:cubeQuarter,10,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalShapes:cubeEighth,4,None
zztong_apartment_01,4,11,50,55,commercial,cntBathTubsRandomLootHelper,7,None
zztong_apartment_01,4,11,50,55,commercial,cntCashRegisterRandomLootHelper,2,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:plate,16,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalShapes:plate,1,None
zztong_apartment_01,4,11,50,55,commercial,cntDisplayCaseEmptyLeft,2,None
zztong_apartment_01,4,11,50,55,commercial,cntDisplayCaseEmptyMiddle,8,None
zztong_apartment_01,4,11,50,55,commercial,cntDisplayCaseEmptyRight,2,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalShapes:pillar0.025Middle,6,None
zztong_apartment_01,4,11,50,55,commercial,cntStoreElectronicsBookShelfSpeaker,2,None
zztong_apartment_01,4,11,50,55,commercial,decoMannequinMale,1,None
zztong_apartment_01,4,11,50,55,commercial,cntStoreShelfDoubleBottomShoesRandomLootHelper,8,None
zztong_apartment_01,4,11,50,55,commercial,cntStoreShelfDoubleTopShoesRandomLootHelper,8,None
zztong_apartment_01,4,11,50,55,commercial,cntStoreShelfSingleBottomShoesRandomLootHelper,12,None
zztong_apartment_01,4,11,50,55,commercial,cntStoreShelfSingleTopShoesRandomLootHelper,8,None
zztong_apartment_01,4,11,50,55,commercial,cntShoesPileRandomLootHelper,2,None
zztong_apartment_01,4,11,50,55,commercial,cntBookcaseGoodRandomLootHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,cntBookcasePoorRandomLootHelper,5,None
zztong_apartment_01,4,11,50,55,commercial,cntBookPileRandomLootHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,concreteShapes:arch3m,106,None
zztong_apartment_01,4,11,50,55,commercial,concreteShapes:arch3mMiddle,79,None
zztong_apartment_01,4,11,50,55,commercial,apartmentMailboxOpenYellow,1,None
zztong_apartment_01,4,11,50,55,commercial,concreteShapes:ramp,20,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalShapes:wedge60,4,None
zztong_apartment_01,4,11,50,55,commercial,brickShapes:windowArchTop,14,None
zztong_apartment_01,4,11,50,55,commercial,cntLuggagePileBRandomLootHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,treePlant02,6,None
zztong_apartment_01,4,11,50,55,commercial,cntBirdnest,2,None
zztong_apartment_01,4,11,50,55,commercial,brickShapes:brickDestroyed01,2,None
zztong_apartment_01,4,11,50,55,commercial,brickShapes:brickDestroyed02,1,None
zztong_apartment_01,4,11,50,55,commercial,airConditioner,4,None
zztong_apartment_01,4,11,50,55,commercial,satelliteDish,1,None
zztong_apartment_01,4,11,50,55,commercial,palletBrownBoxesBase,1,None
zztong_apartment_01,4,11,50,55,commercial,palletBrownBoxesTile,5,None
zztong_apartment_01,4,11,50,55,commercial,palletBrownBoxesTop,2,None
zztong_apartment_01,4,11,50,55,commercial,dryWallStack,1,None
zztong_apartment_01,4,11,50,55,commercial,tableSaw,1,None
zztong_apartment_01,4,11,50,55,commercial,cntShippingCrateShamway,1,None
zztong_apartment_01,4,11,50,55,commercial,cntShippingCrateCarParts,1,None
zztong_apartment_01,4,11,50,55,commercial,cntShippingCrateShotgunMessiah,1,None
zztong_apartment_01,4,11,50,55,commercial,cntShippingCrateWorkingStiffs,1,None
zztong_apartment_01,4,11,50,55,commercial,cntHardenedChestSecure,1,None
zztong_apartment_01,4,11,50,55,commercial,carsRandomHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,carWrecksRandomHelper,2,None
zztong_apartment_01,4,11,50,55,commercial,concreteShapes:stairsFilledVerticalUV,24,None
zztong_apartment_01,4,11,50,55,commercial,cntCar03SedanDamage1RandomHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,questRallyMarker,1,None
zztong_apartment_01,4,11,50,55,commercial,sleeperSit,15,None
zztong_apartment_01,4,11,50,55,commercial,sleeperBack,7,None
zztong_apartment_01,4,11,50,55,commercial,sleeperSideLeft,10,None
zztong_apartment_01,4,11,50,55,commercial,sleeperSideRight,12,None
zztong_apartment_01,4,11,50,55,commercial,sleeperStomach,12,None
zztong_apartment_01,4,11,50,55,commercial,sleeperIdle,19,None
zztong_apartment_01,4,11,50,55,commercial,sleeperCrawlerOnly,4,None
zztong_apartment_01,4,11,50,55,commercial,ceilingLight02Brass,25,None
zztong_apartment_01,4,11,50,55,commercial,recessedLight,6,None
zztong_apartment_01,4,11,50,55,commercial,ceilingLight07,17,None
zztong_apartment_01,4,11,50,55,commercial,flashlightDecor,1,None
zztong_apartment_01,4,11,50,55,commercial,endTableLamp,10,None
zztong_apartment_01,4,11,50,55,commercial,workLightPOI,1,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:bars,12,None
zztong_apartment_01,4,11,50,55,commercial,candleTableLight,1,None
zztong_apartment_01,4,11,50,55,commercial,signShopOpen,2,None
zztong_apartment_01,4,11,50,55,commercial,cntCollapsedSolarbank,1,None
zztong_apartment_01,4,11,50,55,commercial,goreBlockHumanCorpse,1,None
zztong_apartment_01,4,11,50,55,commercial,goreBlockHumanCorpse1,1,None
zztong_apartment_01,4,11,50,55,commercial,goreBlockHumanCorpse2,1,None
zztong_apartment_01,4,11,50,55,commercial,goreBlockHumanCorpse3,1,None
zztong_apartment_01,4,11,50,55,commercial,commercialDoor2_v1,2,None
zztong_apartment_01,4,11,50,55,commercial,commercialDoor4_v1,6,None
zztong_apartment_01,4,11,50,55,commercial,houseFrontDoor1_v1,21,None
zztong_apartment_01,4,11,50,55,commercial,houseFrontDoor1_v3,1,None
zztong_apartment_01,4,11,50,55,commercial,houseFrontDoor2_v1,2,None
zztong_apartment_01,4,11,50,55,commercial,garageDoorIndustrial,4,None
zztong_apartment_01,4,11,50,55,commercial,scrapHatch_v1,1,None
zztong_apartment_01,4,11,50,55,commercial,metalTrussingBlock,9,None
zztong_apartment_01,4,11,50,55,commercial,windowStoreThreeSided,12,None
zztong_apartment_01,4,11,50,55,commercial,concreteDestroyed06,5,None
zztong_apartment_01,4,11,50,55,commercial,concreteDestroyed07,3,None
zztong_apartment_01,4,11,50,55,commercial,windowStoreCornerFull,28,None
zztong_apartment_01,4,11,50,55,commercial,windowStoreOneSidedFull,28,None
zztong_apartment_01,4,11,50,55,commercial,windowStoreTwoSidedFull,2,None
zztong_apartment_01,4,11,50,55,commercial,windowStoreThreeSidedFull,140,None
zztong_apartment_01,4,11,50,55,commercial,curtain_top1Sheet3,2,None
zztong_apartment_01,4,11,50,55,commercial,curtain_bottom1Sheet3,2,None
zztong_apartment_01,4,11,50,55,commercial,commercialBlindsTop,6,None
zztong_apartment_01,4,11,50,55,commercial,commercialBlindsBottom,12,None
zztong_apartment_01,4,11,50,55,commercial,windowPlug01CTRPlate,1,None
zztong_apartment_01,4,11,50,55,commercial,windowPlug03CTRPlate,1,None
zztong_apartment_01,4,11,50,55,commercial,trapSpikesWoodDmg1,1,None
zztong_apartment_01,4,11,50,55,commercial,trapSpikesWoodDmg0,5,None
zztong_apartment_01,4,11,50,55,commercial,barbedWireSheet,6,None
zztong_apartment_01,4,11,50,55,commercial,ladderMetal,4,None
zztong_apartment_01,4,11,50,55,commercial,metalRailing,6,None
zztong_apartment_01,4,11,50,55,commercial,mineCandyTin,3,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:windowTrimBottom,76,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:windowTrimTop,76,None
zztong_apartment_01,4,11,50,55,commercial,whitePicketFenceSheet,44,None
zztong_apartment_01,4,11,50,55,commercial,sandbagStraight01,3,None
zztong_apartment_01,4,11,50,55,commercial,sandbagCorner02Long,1,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFencePole,8,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceDoor,10,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceBottomPlain,16,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceBottomPlainPoleLeft,5,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceBottomPlainCorner,5,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceTopPlainRail,16,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceTopPlainPoleLeft,7,None
zztong_apartment_01,4,11,50,55,commercial,chainlinkFenceTopPlainCorner,5,None
zztong_apartment_01,4,11,50,55,commercial,metalSignNumbersOnlyRandomHelper,2,None
zztong_apartment_01,4,11,50,55,commercial,metalSignNumbersOnlyNoZeroRandomHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,treeDeadTree01,1,None
zztong_apartment_01,4,11,50,55,commercial,treeSmallRandomHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,treeSmallThinRandomHelper,1,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:sawhorse,2,None
zztong_apartment_01,4,11,50,55,commercial,treeStumpPOI,1,None
zztong_apartment_01,4,11,50,55,commercial,treeCactus04,2,None
zztong_apartment_01,4,11,50,55,commercial,treeCactus05,1,None
zztong_apartment_01,4,11,50,55,commercial,treeCactus06,1,None
zztong_apartment_01,4,11,50,55,commercial,plantedCottonHarvestRandomHelper,4,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:coffeeTable,9,None
zztong_apartment_01,4,11,50,55,commercial,woodShapes:table,7,None
zztong_apartment_01,4,11,50,55,commercial,plantedGoldenrodHarvestRandomHelper,3,None
zztong_apartment_01,4,11,50,55,commercial,plantedPotatoHarvestRandomHelper,8,None
zztong_apartment_01,4,11,50,55,commercial,plantedChrysanthemumHarvestRandomHelper,3,None
zztong_apartment_01,4,11,50,55,commercial,plantedCornHarvestRandomHelper,8,None
zztong_apartment_01,4,11,50,55,commercial,plantedPumpkin3HarvestRandomHelper,8,None
zztong_apartment_01,4,11,50,55,commercial,farmPlotBlock,14,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalAirDuct4Sides,16,None
zztong_apartment_01,4,11,50,55,commercial,corrugatedMetalAirDuctRamp,4,None
zztong_apartment_01,4,11,50,55,commercial,metalPipeStraight,16,None
