// --------------------------------------------------------------------------
// ZZTong-Prefabs
//
// This file ONLY specifies files contained within the ZZTong-Prefabs modlet.
// It does NOT contain specifications for Vanilla POIs.
//
// This file was generated by a script: teragon-scout.py
// Generation Timestamp: 2023-06-29 18:44:39.250371
// --------------------------------------------------------------------------
//
// ZZTong-Prefabs: Wilderness POIs
// POI name;rotation;yoffset;x;y;z;distance to other POIs;biomes;regions;road
//
zztong_balloon_safari_01;2;-3;42;15;42;64;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel
zztong_cabin_fort_01;0;-3;42;15;42;64;biome:forest,snow;region:default;road:gravel
zztong_cave_01;2;-20;42;28;42;64;biome:forest;region:default;road:gravel
zztong_fieldday_01;2;-2;42;16;42;64;biome:desert,forest;region:default;road:gravel
zztong_house_18;2;-3;25;17;25;64;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel
zztong_motocross_01;2;-3;148;23;148;64;biome:forest;region:default;road:gravel
zztong_oil_pump_jack_01;2;-3;25;14;25;64;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel
zztong_ranch_01;2;-8;120;30;120;64;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel
zztong_rebirth_01;2;-7;42;29;42;64;biome:desert,forest,snow;region:default;road:gravel
zztong_solar_farm_01;0;-2;42;8;42;64;biome:desert,forest,snow;region:default;road:gravel
zztong_stone_quarry_01;2;-16;81;21;81;64;biome:desert,forest,snow;region:default;road:gravel
zztong_survivor_base_ruin_01;2;-3;45;15;45;64;biome:desert,forest,snow,wasteland;region:default;road:gravel
zztong_tfp_army_barracks_01;2;-3;60;23;60;64;biome:desert,forest,snow;region:default;road:gravel
zztong_tfp_ranger_station_01;1;-3;25;15;25;64;biome:desert,forest,snow;region:default;road:gravel
zztong_vault_k9_01;2;-28;100;36;100;64;biome:desert,forest,snow;region:default;road:gravel
zztong_wind_turbine_01;2;-3;31;69;31;64;biome:desert,forest,snow,wasteland;region:default;road:gravel
//
// ZZTong-Prefabs: Non-Wilderness POIs
// POI name;rotation;yoffset;x;y;z;alone
//
zztong_adot_01;2;-2;42;11;42;alone
zztong_apartment_01;3;-7;42;32;42;alone
zztong_apartment_02;2;-2;60;19;60;alone
zztong_apartment_03;2;-6;60;20;60;alone
zztong_bar_pool_01;0;-2;42;10;42;alone
zztong_biowaste_dump_01;2;-5;25;7;25;alone
zztong_brownstones_01;2;-9;42;29;42;alone
zztong_car_show_01;2;-2;42;8;42;alone
zztong_car_wash_01;2;-3;42;15;42;alone
zztong_cement_plant_01;2;-1;42;27;42;alone
zztong_containers_01;2;-3;42;13;42;alone
zztong_crater_01;2;-10;25;11;25;alone
zztong_delos_oldwest_01;2;-14;42;30;42;alone
zztong_dog_park_01;2;-3;25;6;25;alone
zztong_drive_in_movie_01;2;-4;60;18;60;alone
zztong_drive_thru_01;0;-2;25;10;25;alone
zztong_electrical_substation_01;2;-1;25;13;25;alone
zztong_ems_01;2;-2;42;21;42;alone
zztong_farmers_market_01;0;-2;42;7;42;alone
zztong_farm_01;0;-4;60;18;60;alone
zztong_farm_02;2;-5;60;19;60;alone
zztong_farm_03;2;-5;60;16;60;alone
zztong_farm_04;2;-5;60;21;60;alone
zztong_farm_05;2;-1;60;16;60;alone
zztong_farm_06;2;-5;60;14;60;alone
zztong_farm_07;2;-1;60;10;60;alone
zztong_farm_08;2;-13;60;36;60;alone
zztong_field_aloe_01;2;-6;25;8;25;alone
zztong_field_animals_01;2;-5;25;6;25;alone
zztong_field_blueberry_01;2;-5;25;7;25;alone
zztong_field_chickens_01;2;-1;25;6;25;alone
zztong_field_coffee_01;2;-5;25;7;25;alone
zztong_field_corn_01;2;-5;25;7;25;alone
zztong_field_cotton_01;2;-5;25;7;25;alone
zztong_field_fish_01;2;-3;25;8;25;alone
zztong_field_hop_01;2;-5;25;7;25;alone
zztong_field_mushroom_01;3;-1;25;5;25;alone
zztong_field_potato_01;2;-5;25;7;25;alone
zztong_field_pumpkin_01;2;-5;25;7;25;alone
zztong_field_yucca_01;2;-5;25;7;25;alone
zztong_garage_01;2;-3;25;11;25;alone
zztong_house_01;0;-4;25;13;25;alone
zztong_house_02;0;-4;42;16;42;alone
zztong_house_03;0;-3;42;17;42;alone
zztong_house_04;2;-3;42;14;42;alone
zztong_house_05;2;-4;42;18;42;alone
zztong_house_06;2;-3;25;18;25;alone
zztong_house_07;2;-7;25;17;25;alone
zztong_house_08;2;-9;25;25;25;alone
zztong_house_09;2;-4;25;14;25;alone
zztong_house_10;2;-7;25;28;25;alone
zztong_house_11;2;-3;25;20;25;alone
zztong_house_12;2;-3;25;16;25;alone
zztong_house_13;2;-3;25;12;25;alone
zztong_house_14;2;-6;25;26;25;alone
zztong_house_15;2;-6;25;17;25;alone
zztong_house_16;2;-6;60;24;60;alone
zztong_house_17;2;-6;60;28;60;alone
zztong_house_18;2;-3;25;17;25;alone
zztong_house_19;2;-3;25;10;25;alone
zztong_house_20;2;-3;25;16;25;alone
zztong_house_21;2;-3;25;10;25;alone
zztong_intersection_01;2;-13;64;52;64;alone
zztong_intersection_02;2;-13;64;40;64;alone
zztong_intersection_03;2;-13;64;43;64;alone
zztong_intersection_04;2;-6;64;41;64;alone
zztong_kzmb_radio_01;2;-2;42;83;42;alone
zztong_kztv_01;2;-3;42;14;42;alone
zztong_law_offices_01;2;-3;42;14;42;alone
zztong_lot_vacant_01;2;-2;25;4;25;alone
zztong_lot_vacant_02;2;-2;25;9;25;alone
zztong_lumber_yard_01;2;-3;42;10;42;alone
zztong_masonry_01;2;-3;42;12;42;alone
zztong_mass_grave_01;2;-4;25;6;25;alone
zztong_mass_grave_02;2;-4;25;5;25;alone
zztong_ntt_hq_01;2;-9;42;31;42;alone
zztong_ntt_hub_01;2;-3;25;10;25;alone
zztong_office_building_01;2;-6;42;41;42;alone
zztong_office_building_02;0;-3;42;34;42;alone
zztong_office_building_03;2;-10;100;29;100;alone
zztong_oil_pump_jack_01;2;-3;25;14;25;alone
zztong_pharmacy_01;2;-3;42;12;42;alone
zztong_political_party_hq_01;2;-8;42;27;42;alone
zztong_presidio_museum_01;2;-3;42;18;42;alone
zztong_propane_01;0;-2;42;12;42;alone
zztong_ranger_hq_01;2;-2;42;33;42;alone
zztong_red_rocket_01;2;-3;42;22;42;alone
zztong_remnant_house_01;2;-6;25;14;25;alone
zztong_remnant_house_02;2;-6;25;9;25;alone
zztong_restaurant_01;2;-3;42;13;42;alone
zztong_scout_lodge_01;2;-3;42;17;42;alone
zztong_shelter_01;2;-6;60;25;60;alone
zztong_sheriff_01;2;-8;42;37;42;alone
zztong_skyscraper_01;2;-3;42;83;42;alone
zztong_slabhouse_01;2;-3;25;16;25;alone
zztong_storage_01;2;-3;60;12;60;alone
zztong_store_s_01;3;-3;42;19;42;alone
zztong_store_s_02;2;-3;42;13;42;alone
zztong_store_xs_01;2;-3;25;10;25;alone
zztong_store_xs_02;2;-3;25;13;25;alone
zztong_store_xs_03;2;-6;25;16;25;alone
zztong_store_xs_04;2;-3;25;16;25;alone
zztong_store_xs_05;2;-3;25;12;25;alone
zztong_store_xs_06;2;-3;25;17;25;alone
zztong_store_xs_07;2;-8;25;14;25;alone
zztong_store_xs_08;2;-3;25;9;25;alone
zztong_store_xs_09;2;-3;25;11;25;alone
zztong_store_xs_10;2;-5;25;23;25;alone
zztong_store_xs_11;2;-3;25;16;25;alone
zztong_store_xs_12;2;-3;25;12;25;alone
zztong_store_xs_13;2;-9;25;24;25;alone
zztong_store_xs_14;2;-8;25;32;25;alone
zztong_store_xs_15;2;-3;25;12;25;alone
zztong_stormwater_detention_pond_01;2;-5;25;7;25;alone
zztong_strip_mall_01;2;-3;42;23;42;alone
zztong_strip_mall_02;2;-3;60;13;60;alone
zztong_survivor_site_urban_01;3;-3;60;32;60;alone
