// --------------------------------------------------------------------------
// ZZTong-Prefabs
//
// This file ONLY specifies files contained within the ZZTong-Prefabs modlet.
// It does NOT contain specifications for Vanilla POIs.
//
// This file was generated by a script: teragon-scout.py
// Generation Timestamp: 2024-04-21 12:20:43.602449
// --------------------------------------------------------------------------
//
// ZZTong-Prefabs: Wilderness POIs
// POI name;distance to other POIs;biomes;regions;road;poi_duplicate_distance
//
zztong_balloon_safari_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_buried_treasure_02;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:8000
zztong_cabin_fort_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_cave_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_fieldday_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_gyroport_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:4000
zztong_house_18;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:1000
zztong_motocross_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:8000
zztong_oil_pump_jack_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_ranch_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:4000
zztong_rebirth_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_solar_farm_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_stone_quarry_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:8000
zztong_survivor_base_ruin_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:4000
zztong_tfp_army_barracks_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_tfp_prison_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_tfp_ranger_station_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_tfp_settlement_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
zztong_vault_k9_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:4000
zztong_wind_turbine_01;poi_distance:49;biome:burnt,desert,forest,snow,wasteland;region:default;road:gravel;poi_duplicate_distance:2000
